speed,grade,vo2,vo2_abs,vco2,rer,rr,vt.btps,ve.btps,peto2,petco2,br,time,ex_time,clock_time
1.9,1,3.1,239,180,0.75,19,389,7.2,109,30,95.7,1.2666666666666666,NA,14:45:31
2.8,1.1,3.6,277,210,0.76,23,464,10.6,105,31,93.7,1.3,0.03333333333333333,14:45:33
3,1.1,7.1,539,392,0.73,26,583,15,99,35,91,1.35,0.08333333333333333,14:45:36
3,1.1,4.9,371,253,0.68,21,504,10.8,96,35,93.5,1.3833333333333333,0.11666666666666667,14:45:38
3,1.1,10.7,816,524,0.64,26,657,16.9,89,38,89.8,1.4333333333333333,0.16666666666666666,14:45:41
3,1.1,11.6,888,577,0.65,27,702,18.9,93,35,88.6,1.4666666666666668,0.2,14:45:43
3,1.1,18.3,1401,917,0.65,27,1136,30.2,96,34,81.9,1.5,0.23333333333333334,14:45:45
3,1.1,14.6,1113,728,0.65,28,889,24.7,97,34,85.1,1.5333333333333332,0.26666666666666666,14:45:47
2.9,1.1,12.5,955,641,0.67,22,952,21.4,98,34,87.1,1.5833333333333335,0.31666666666666665,14:45:50
2.9,1.1,11.8,899,625,0.7,14,1442,20,98,35,88,1.65,0.38333333333333336,14:45:54
2.9,1.1,12.5,957,679,0.71,15,1472,21.7,100,34,86.9,1.7333333333333334,0.4666666666666667,14:45:59
3,1.1,10.7,818,603,0.74,13,1404,18.8,99,35,88.7,1.8,0.5333333333333333,14:46:03
3,1.1,8,613,425,0.69,22,665,14.7,97,35,91.2,1.85,0.5833333333333334,14:46:06
3,1.1,11.9,911,641,0.7,16,1266,19.9,97,36,88,1.9166666666666665,0.65,14:46:10
3,1.1,6.9,529,347,0.66,19,623,11.9,93,36,92.8,1.9666666666666668,0.7,14:46:13
3,1.1,9.9,756,460,0.61,23,640,14.4,85,39,91.3,2,0.7333333333333333,14:46:15
2.8,1.1,11.7,896,529,0.59,22,725,16.2,85,39,90.3,2.05,0.7833333333333333,14:46:18
3,1.1,19,1448,855,0.59,24,1069,25.5,87,38,84.6,2.1,0.8333333333333334,14:46:21
3,1.1,17.8,1359,820,0.6,22,1110,23.9,88,37,85.6,2.1333333333333333,0.8666666666666667,14:46:23
